,A1_cat,A4_cat,A5_cat,A6_cat,A7_cat,A9_cat,A10_cat,A12_cat,A13_cat,A2,A3,A8,A11,A14,A15,A16
0,1,1,0,12,7,1,1,0,0,30.83,0.0,1.25,1,202,0,1
1,0,1,0,10,3,1,1,0,0,58.67,4.46,3.04,6,43,560,1
2,0,1,0,10,3,1,0,0,0,24.5,0.5,1.5,0,280,824,1
3,1,1,0,12,7,1,1,1,0,27.83,1.54,3.75,5,100,3,1
4,1,1,0,12,7,1,0,0,2,20.17,5.625,1.71,0,120,0,1
5,1,1,0,9,7,1,0,1,0,32.08,4.0,2.5,0,360,0,1
6,1,1,0,11,3,1,0,1,0,33.17,1.04,6.5,0,164,31285,1
7,0,1,0,2,7,1,0,0,0,22.92,11.585,0.04,0,80,1349,1
8,1,2,2,8,3,1,0,0,0,54.42,0.5,3.96,0,180,314,1
9,1,2,2,12,7,1,0,1,0,42.5,4.915,3.165,0,52,1442,1
10,1,1,0,1,3,0,0,1,0,22.08,0.83,2.165,0,128,0,1
11,1,1,0,1,3,1,0,0,0,29.92,1.835,4.335,0,260,200,1
12,0,1,0,8,7,1,0,1,0,38.25,6.0,1.0,0,0,0,1
13,1,1,0,8,7,0,0,0,0,48.08,6.04,0.04,0,0,2690,1
14,0,1,0,10,7,1,1,1,0,45.83,10.5,5.0,7,0,0,1
15,1,2,2,8,7,1,1,1,0,36.67,4.415,0.25,10,320,0,1
16,1,1,0,9,7,1,1,1,0,28.25,0.875,0.96,3,396,0,1
17,0,1,0,10,7,1,1,0,0,23.25,5.875,3.17,10,120,245,1
18,1,1,0,3,3,1,0,1,0,21.83,0.25,0.665,0,0,0,1
19,0,1,0,2,3,1,1,0,0,19.17,8.585,0.75,7,96,0,1
20,1,1,0,1,7,1,1,0,0,25.0,11.25,2.5,17,200,1208,1
21,1,1,0,1,7,1,0,0,2,23.25,1.0,0.835,0,300,0,1
22,0,1,0,1,7,1,1,1,0,47.75,8.0,7.875,6,0,1260,1
23,0,1,0,13,3,1,1,0,0,27.42,14.5,3.085,1,120,11,1
24,0,1,0,10,7,1,1,1,0,41.17,6.5,0.5,3,145,0,1
25,0,1,0,1,3,1,1,0,0,15.83,0.585,1.5,2,100,0,1
26,0,1,0,6,0,1,1,1,0,47.0,13.0,5.165,9,0,0,1
27,1,1,0,3,0,1,1,1,0,56.58,18.5,15.0,17,0,0,1
28,1,1,0,4,3,1,1,0,0,57.42,8.5,7.0,3,0,0,1
29,1,1,0,12,7,1,1,1,0,42.08,1.04,5.0,6,500,10000,1
30,1,1,0,0,7,1,1,1,0,29.25,14.79,5.04,5,168,0,1
31,1,1,0,13,3,1,1,0,0,42.0,9.79,7.96,8,0,0,1
32,1,1,0,6,0,1,1,1,0,49.5,7.585,7.585,15,0,5000,1
33,0,1,0,4,7,1,0,1,0,36.75,5.125,5.0,0,0,4000,1
34,0,1,0,10,7,1,1,1,0,22.58,10.75,0.415,5,0,560,1
35,1,1,0,12,7,1,1,1,0,27.83,1.5,2.0,11,434,35,1
36,1,1,0,2,3,1,1,1,0,27.25,1.585,1.835,12,583,713,1
37,0,1,0,13,3,1,1,1,0,23.0,11.75,0.5,2,300,551,1
38,1,2,2,2,7,1,1,0,0,27.75,0.585,0.25,2,260,500,1
39,1,1,0,5,2,1,1,1,0,54.58,9.415,14.415,11,30,300,1
40,1,1,0,1,7,1,1,1,0,34.17,9.17,4.5,12,0,221,1
41,1,1,0,1,3,1,1,0,0,28.92,15.0,5.335,11,0,2283,1
42,1,1,0,12,3,1,1,0,0,29.67,1.415,0.75,1,240,100,1
43,1,1,0,12,7,1,1,1,0,39.58,13.915,8.625,6,70,0,1
44,1,2,2,1,7,1,1,0,0,56.42,28.0,28.5,40,0,15,1
45,1,1,0,1,3,1,1,1,0,54.33,6.75,2.625,11,0,284,1
46,0,2,2,10,3,1,1,1,0,41.0,2.04,0.125,23,455,1236,1
47,1,1,0,2,3,1,1,0,0,31.92,4.46,6.04,3,311,300,1
48,1,1,0,6,0,0,0,0,0,41.5,1.54,3.5,0,216,0,1
49,1,1,0,1,7,0,0,0,0,23.92,0.665,0.165,0,100,0,1
50,0,1,0,1,3,1,0,1,0,25.75,0.5,0.875,0,491,0,1
51,1,1,0,10,7,1,0,1,0,26.0,1.0,1.75,0,280,0,1
52,1,1,0,12,7,1,0,1,0,37.42,2.04,0.04,0,400,5800,1
53,1,1,0,12,7,1,0,1,0,34.92,2.5,0.0,0,239,200,1
54,1,1,0,2,3,1,0,1,0,34.25,3.0,7.415,0,0,0,1
55,1,2,2,12,7,1,0,1,0,23.33,11.625,0.835,0,160,300,1
56,1,1,0,2,7,1,0,0,0,23.17,0.0,0.085,0,0,0,1
57,1,1,0,6,3,1,0,1,0,44.33,0.5,5.0,0,320,0,1
58,1,1,0,13,3,0,0,1,2,35.17,4.5,5.75,0,711,0,1
59,1,1,0,10,3,1,1,0,0,43.25,3.0,6.0,11,80,0,1
60,1,1,0,9,7,1,1,1,0,56.75,12.25,1.25,4,200,0,1
61,1,1,0,3,7,1,1,0,0,31.67,16.165,3.0,9,250,730,1
62,0,2,2,10,7,1,1,1,0,23.42,0.79,1.5,2,80,400,1
63,0,1,0,10,7,1,1,0,0,20.42,0.835,1.585,1,0,0,1
64,1,1,0,2,7,1,1,1,0,26.67,4.25,4.29,1,120,0,1
65,1,1,0,2,7,1,1,1,0,34.17,1.54,1.54,1,520,50000,1
66,0,1,0,1,7,1,1,0,0,36.0,1.0,2.0,11,0,456,1
67,1,1,0,9,7,1,1,0,0,25.5,0.375,0.25,3,260,15108,1
68,1,1,0,12,3,1,1,0,0,19.42,6.5,1.46,7,80,2954,1
69,1,1,0,13,3,1,1,1,0,35.17,25.125,1.625,1,515,500,1
70,1,1,0,4,0,1,0,1,2,32.33,7.5,1.585,0,420,0,0
71,0,1,0,2,7,1,0,1,0,38.58,5.0,13.5,0,980,0,0
72,1,1,0,9,7,1,0,0,2,44.25,0.5,10.75,0,400,0,0
73,1,2,2,1,7,0,0,0,0,44.83,7.0,1.625,0,160,2,0
74,1,1,0,10,7,1,1,0,0,20.67,5.29,0.375,1,160,0,0
75,1,1,0,0,7,1,0,1,0,34.08,6.5,0.125,0,443,0,0
76,0,2,2,0,7,1,0,1,0,19.17,0.585,0.585,0,160,0,0
77,1,2,2,8,7,1,1,0,0,21.67,1.165,2.5,1,180,20,0
78,1,1,0,1,7,1,0,0,0,21.5,9.75,0.25,0,140,0,0
79,1,1,0,5,2,1,1,0,0,49.58,19.0,0.0,1,94,0,0
80,0,1,0,9,7,1,0,0,2,27.67,1.5,2.0,0,368,0,0
81,1,1,0,9,7,1,0,0,2,39.83,0.5,0.25,0,288,0,0
82,1,1,0,0,7,1,0,1,0,27.25,0.625,0.455,0,200,0,0
83,1,1,0,1,0,1,0,1,2,37.17,4.0,5.0,0,280,0,0
84,1,2,2,0,7,1,0,0,0,25.67,2.21,4.0,0,188,0,0
85,1,1,0,0,7,1,0,1,0,34.0,4.5,1.0,0,240,0,0
86,0,1,0,7,4,1,0,1,0,49.0,1.5,0.0,0,100,27,0
87,1,2,2,1,3,1,0,0,0,62.5,12.75,5.0,0,112,0,0
88,1,1,0,1,7,1,0,0,0,31.42,15.5,0.5,0,120,0,0
89,1,2,2,1,3,1,0,1,0,52.33,1.375,9.46,0,200,100,0
90,1,2,2,1,7,1,0,1,0,28.75,1.5,1.5,0,0,225,0
91,0,1,0,6,0,1,0,1,0,28.58,3.54,0.5,0,171,0,0
92,1,2,2,0,7,1,0,0,0,23.0,0.625,0.125,0,180,1,0
93,0,2,2,10,7,1,0,1,0,22.5,11.0,3.0,0,268,0,0
94,0,1,0,10,7,1,1,1,0,28.5,1.0,1.0,2,167,500,0
95,1,2,2,1,0,1,0,1,0,37.5,1.75,0.25,0,164,400,0
96,1,2,2,1,7,1,0,0,0,35.25,16.5,4.0,0,80,0,0
97,1,1,0,10,7,1,1,0,0,18.67,5.0,0.375,2,0,38,0
